"pop" "id" "k.value.run" "X1" "X2" "X3" "membership"
"423" "SR" "SR15" 2 0.189901 0.810099 NA 2
"424" "SR" "SR159" 2 0.999775 0.000225 NA 1
"425" "SR" "SR24" 2 0.994417 0.005583 NA 1
"426" "SR" "SR34" 2 0.998732 0.001268 NA 1
"427" "SR" "SR37" 2 0.999869 0.000131 NA 1
"428" "SR" "SR51" 2 0.000169 0.999831 NA 2
"429" "SR" "SR58" 2 0.999664 0.000336 NA 1
"430" "SR" "SR88" 2 0.999844 0.000156 NA 1
"431" "SR" "SR89" 2 0.999771 0.000229 NA 1
"432" "SR" "SR96" 2 0.999798 0.000202 NA 1
"433" "AL" "AL12" 2 0.999855 0.000145 NA 1
"434" "AL" "AL2" 2 0.999857 0.000143 NA 1
"435" "AL" "AL21" 2 0.999795 0.000205 NA 1
"436" "AL" "AL22" 2 0.999854 0.000146 NA 1
"437" "AL" "AL24" 2 0.999789 0.000211 NA 1
"438" "AL" "AL29" 2 0.999843 0.000157 NA 1
"439" "AL" "AL3" 2 0.999857 0.000143 NA 1
"440" "AL" "AL6" 2 0.999866 0.000134 NA 1
"441" "BR" "BR18" 2 0.999853 0.000147 NA 1
"442" "BR" "BR19" 2 0.999847 0.000153 NA 1
"443" "BR" "BR21" 2 0.999858 0.000142 NA 1
"444" "BR" "BR23" 2 0.999862 0.000138 NA 1
"445" "BR" "BR25" 2 0.999864 0.000136 NA 1
"446" "BR" "BR26" 2 0.99988 0.00012 NA 1
"447" "BR" "BR29" 2 0.999869 0.000131 NA 1
"448" "BR" "BR32" 2 0.999864 0.000136 NA 1
"449" "BR" "BR37" 2 0.999849 0.000151 NA 1
"450" "CB" "CB2" 2 0.999283 0.000717 NA 1
"451" "CL" "CL17" 2 0.999815 0.000185 NA 1
"452" "CL" "CL23" 2 0.999783 0.000217 NA 1
"453" "CL" "CL27" 2 0.999829 0.000171 NA 1
"454" "CL" "CL31" 2 0.000148 0.999852 NA 2
"455" "CL" "CL39" 2 0.000161 0.999839 NA 2
"456" "CL" "CL42" 2 0.000208 0.999792 NA 2
"457" "CL" "CL43" 2 0.999802 0.000198 NA 1
"458" "CL" "CL47" 2 0.000202 0.999798 NA 2
"459" "CL" "CL54" 2 0.000153 0.999847 NA 2
"460" "CL" "CL56" 2 0.000217 0.999783 NA 2
